country,year,net,totalNet
Estonia,2001,-23859692,-251070561
Estonia,2002,-8009886,-251070561
Estonia,1996,-30942970,-251070561
Estonia,1998,-20250742,-251070561
Estonia,1997,-8307811,-251070561
Estonia,1999,-9201870,-251070561
Estonia,1995,-18418713,-251070561
Estonia,2000,-16010329,-251070561
Estonia,2004,-19139015,-251070561
Estonia,2003,-15925093,-251070561
Estonia,1994,-25652518,-251070561
Estonia,1992,-16023398,-251070561
Estonia,1993,-38337840,-251070561
Estonia,1991,-990684,-251070561
United Arab Emirates,1976,64911546,-232569486
United Arab Emirates,2010,1109303,-232569486
United Arab Emirates,2011,590706,-232569486
United Arab Emirates,2012,1025431,-232569486
United Arab Emirates,1995,-1579978,-232569486
United Arab Emirates,2004,-3451690,-232569486
United Arab Emirates,1997,-1002901,-232569486
United Arab Emirates,1996,-1038083,-232569486
United Arab Emirates,2003,-2325618,-232569486
United Arab Emirates,2001,-2140111,-232569486
United Arab Emirates,1998,-461121,-232569486
United Arab Emirates,1999,-595520,-232569486
United Arab Emirates,2000,-628944,-232569486
United Arab Emirates,2002,-1783343,-232569486
United Arab Emirates,1994,-9485289,-232569486
United Arab Emirates,1985,-136260119,-232569486
United Arab Emirates,1983,-598545,-232569486
United Arab Emirates,1973,-65097,-232569486
United Arab Emirates,1980,-174742,-232569486
United Arab Emirates,1977,-3599299,-232569486
United Arab Emirates,1982,-936588,-232569486
United Arab Emirates,1981,-1813286,-232569486
United Arab Emirates,1984,-505928,-232569486
United Arab Emirates,1987,-131760270,-232569486
Slovenia,2010,135720,-225285172
Slovenia,2013,14308,-225285172
Slovenia,1993,-2609520,-225285172
Slovenia,2008,-105521,-225285172
Slovenia,2007,-105426,-225285172
Slovenia,2006,-74572,-225285172
Slovenia,1998,-8484412,-225285172
Slovenia,2000,-32556545,-225285172
Slovenia,1997,-7858148,-225285172
Slovenia,1995,-7405043,-225285172
Slovenia,2001,-13913044,-225285172
Slovenia,2002,-7663650,-225285172
Slovenia,1999,-12831539,-225285172
Slovenia,1996,-90121406,-225285172
Slovenia,2003,-6291746,-225285172
Slovenia,2004,-12414136,-225285172
Slovenia,1994,-12375582,-225285172
Slovenia,1992,-10624910,-225285172
New Zealand,2009,4720299,-168838425
New Zealand,2002,3965321,-168838425
New Zealand,2003,5429394,-168838425
New Zealand,1995,1551034,-168838425
New Zealand,2006,4390620,-168838425
New Zealand,2007,4179628,-168838425
New Zealand,2004,5342910,-168838425
New Zealand,2005,5156674,-168838425
New Zealand,2008,4836516,-168838425
New Zealand,1981,752775,-168838425
New Zealand,1983,216892,-168838425
New Zealand,1982,-213312242,-168838425
New Zealand,1985,4831732,-168838425
New Zealand,2010,3518946,-168838425
New Zealand,2011,3623798,-168838425
New Zealand,2012,1722664,-168838425
New Zealand,2013,1938330,-168838425
New Zealand,1980,-11703716,-168838425
Australia,2009,17680084,-126001949
Australia,2008,18754564,-126001949
Australia,2004,17256770,-126001949
Australia,2002,-651647741,-126001949
Australia,2007,13864351,-126001949
Australia,2003,94571888,-126001949
Australia,2006,27058214,-126001949
Australia,1998,-73130323,-126001949
Australia,2000,115957719,-126001949
Australia,2005,28927690,-126001949
Australia,2001,99427776,-126001949
Australia,1995,-256495729,-126001949
Australia,1996,80468022,-126001949
Australia,1999,87775767,-126001949
Australia,1997,99085271,-126001949
Australia,1994,-259227185,-126001949
Australia,1980,-31218470,-126001949
Australia,1981,-729222174,-126001949
Australia,1973,46285863,-126001949
Australia,1986,25229662,-126001949
Australia,1988,1758350,-126001949
Australia,1975,77691781,-126001949
Australia,1985,6929573,-126001949
Australia,1990,93432068,-126001949
Australia,1991,518306838,-126001949
Australia,1992,-136174067,-126001949
Australia,1983,7388539,-126001949
Australia,1982,7858925,-126001949
Australia,1977,72648152,-126001949
Australia,1993,-41704432,-126001949
Australia,1984,3698286,-126001949
Australia,1987,18309923,-126001949
Australia,1979,9763598,-126001949
Australia,1978,47483698,-126001949
Australia,1989,163270223,-126001949
Australia,1976,27718070,-126001949
Australia,1974,26950877,-126001949
Australia,2010,32806019,-126001949
Australia,2011,41545539,-126001949
Australia,2012,55649016,-126001949
Australia,2013,67265056,-126001949
Portugal,2009,2079818,-106341740
Portugal,2008,2483117,-106341740
Portugal,2002,7394633,-106341740
Portugal,2007,4973178,-106341740
Portugal,2001,4477740,-106341740
Portugal,2000,2738129,-106341740
Portugal,2005,2827761,-106341740
Portugal,2006,2556983,-106341740
Portugal,2004,2805269,-106341740
Portugal,1999,2099809,-106341740
Portugal,2003,1051124,-106341740
Portugal,1996,331133,-106341740
Portugal,1998,100751,-106341740
Portugal,1997,344667,-106341740
Portugal,2010,9121622,-106341740
Portugal,2011,9036429,-106341740
Portugal,2012,7736231,-106341740
Portugal,2013,6629414,-106341740
Portugal,1980,-4136160,-106341740
Portugal,1981,-144765310,-106341740
Portugal,1984,-1826510,-106341740
Portugal,1988,-2538321,-106341740
Portugal,1986,-21863247,-106341740
Iceland,2012,39083,-17887544
Iceland,2013,133418,-17887544
Iceland,1980,-18060045,-17887544
Liechtenstein,1981,-18065044,-14022383
